xe	re	ue	pe	Ee
0.74	0.339700235	1.360905519	0.466293567	4.357686644
0.742	0.339700235	1.360905519	0.466293567	4.357686644
0.744	0.339700235	1.360905519	0.466293567	4.357686644
0.746	0.339700235	1.360905519	0.466293567	4.357686644
0.748	0.339700235	1.360905519	0.466293567	4.357686644
0.75	0.339700235	1.360905519	0.466293567	4.357686644
0.752	0.339700235	1.360905519	0.466293567	4.357686644
0.754	0.339700235	1.360905519	0.466293567	4.357686644
0.756	0.339700235	1.360905519	0.466293567	4.357686644
0.758	0.339700235	1.360905519	0.466293567	4.357686644
0.76	0.339700235	1.360905519	0.466293567	4.357686644
0.762	0.339700235	1.360905519	0.466293567	4.357686644
0.764	0.339700235	1.360905519	0.466293567	4.357686644
0.766	0.339700235	1.360905519	0.466293567	4.357686644
0.768	0.339700235	1.360905519	0.466293567	4.357686644
0.77	0.339700235	1.360905519	0.466293567	4.357686644
0.772	0.339700235	1.360905519	0.466293567	4.357686644
0.774	0.339700235	1.360905519	0.466293567	4.357686644
0.776	0.339700235	1.360905519	0.466293567	4.357686644
0.778	0.339700235	1.360905519	0.466293567	4.357686644
0.78	0.339700235	1.360905519	0.466293567	4.357686644
0.782	0.339700235	1.360905519	0.466293567	4.357686644
0.784	0.339700235	1.360905519	0.466293567	4.357686644
0.786	0.339700235	1.360905519	0.466293567	4.357686644
0.788	0.339700235	1.360905519	0.466293567	4.357686644
0.79	0.339700235	1.360905519	0.466293567	4.357686644
0.792	0.339700235	1.360905519	0.466293567	4.357686644
0.794	0.339700235	1.360905519	0.466293567	4.357686644
0.796	0.339700235	1.360905519	0.466293567	4.357686644
0.798	0.339700235	1.360905519	0.466293567	4.357686644
0.8	0.339700235	1.360905519	0.466293567	4.357686644
0.802	0.339700235	1.360905519	0.466293567	4.357686644
0.804	0.339700235	1.360905519	0.466293567	4.357686644
0.806	0.339700235	1.360905519	0.466293567	4.357686644
0.808	0.339700235	1.360905519	0.466293567	4.357686644
0.81	0.339700235	1.360905519	0.466293567	4.357686644
0.812	0.339700235	1.360905519	0.466293567	4.357686644
0.814	0.339700235	1.360905519	0.466293567	4.357686644
0.816	0.339700235	1.360905519	0.466293567	4.357686644
0.818	0.339700235	1.360905519	0.466293567	4.357686644
0.82	0.339700235	1.360905519	0.466293567	4.357686644
0.822	0.339700235	1.360905519	0.466293567	4.357686644
0.824	0.125	0	0.1	2
0.826	0.125	0	0.1	2
0.828	0.125	0	0.1	2
0.83	0.125	0	0.1	2
0.832	0.125	0	0.1	2
0.834	0.125	0	0.1	2
0.836	0.125	0	0.1	2
0.838	0.125	0	0.1	2
0.84	0.125	0	0.1	2
0.842	0.125	0	0.1	2
0.844	0.125	0	0.1	2
0.846	0.125	0	0.1	2
0.848	0.125	0	0.1	2
0.85	0.125	0	0.1	2
0.852	0.125	0	0.1	2
0.854	0.125	0	0.1	2
0.856	0.125	0	0.1	2
0.858	0.125	0	0.1	2
0.86	0.125	0	0.1	2
0.862	0.125	0	0.1	2
0.864	0.125	0	0.1	2
0.866	0.125	0	0.1	2
0.868	0.125	0	0.1	2
0.87	0.125	0	0.1	2
0.872	0.125	0	0.1	2
0.874	0.125	0	0.1	2
0.876	0.125	0	0.1	2
0.878	0.125	0	0.1	2
0.88	0.125	0	0.1	2
0.882	0.125	0	0.1	2
0.884	0.125	0	0.1	2
0.886	0.125	0	0.1	2
0.888	0.125	0	0.1	2
0.89	0.125	0	0.1	2
0.892	0.125	0	0.1	2
0.894	0.125	0	0.1	2
0.896	0.125	0	0.1	2
0.898	0.125	0	0.1	2
0.9	0.125	0	0.1	2
